"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.683691669E-2,-2.149056405E-1,5.604129356E-1,1.295385139E0,1.427679849E0
3.687491675E-2,2.219135284E-2,2.791987002E-1,8.053340882E-1,8.526472682E-1
4.691291670E-2,1.475977564E-1,8.100849509E-2,4.298340851E-1,4.616327704E-1
5.695091665E-2,1.813975865E-1,4.424178779E-2,4.076591045E-1,4.483841719E-1
6.698891672E-2,2.851459032E-1,-1.092254037E-1,5.983490860E-1,6.717588881E-1
7.702591666E-2,5.683069691E-1,-3.212173766E-1,8.257128042E-1,1.052594437E0
8.706391673E-2,6.510669976E-1,-4.079163820E-1,9.662769449E-1,1.234493882E0
9.710191668E-2,6.121911997E-1,-4.603661987E-1,9.821392715E-1,1.245517021E0
1.071399167E-1,5.273837686E-1,-4.419723201E-1,8.403951627E-1,1.086157079E0
1.171779167E-1,4.760294276E-1,-4.256939641E-1,5.011788869E-1,8.117879302E-1
1.272159166E-1,4.650270143E-1,-4.500560957E-1,5.870546043E-2,6.498053127E-1
1.372529167E-1,3.764794117E-1,-4.977842858E-1,-2.295482379E-1,6.649949896E-1
1.472909166E-1,3.809750435E-1,-5.646980676E-1,-3.693376225E-1,7.748781651E-1
1.573289167E-1,4.319738737E-1,-7.025865224E-1,-4.747190666E-1,9.516235817E-1
1.673669167E-1,3.533092350E-1,-7.943948248E-1,-4.211995018E-1,9.660743105E-1
1.774052917E-1,1.042663801E-1,-8.068350685E-1,-1.324979067E-1,8.242633080E-1
1.874422916E-1,5.866540700E-2,-8.138987973E-1,1.651955366E-1,8.325637799E-1
1.974802917E-1,1.655598181E-1,-8.660606387E-1,2.827245712E-1,9.259612662E-1
2.075182917E-1,1.258168781E-1,-9.699004644E-1,2.691280407E-1,1.014379958E0
2.175562917E-1,3.715086937E-2,-1.010005055E0,2.763955450E-1,1.047800026E0
2.275942917E-1,7.082790792E-2,-1.111148145E0,2.493971962E-1,1.140993319E0
2.376312917E-1,5.835082680E-3,-1.222847505E0,2.446346390E-1,1.247091086E0
2.476692917E-1,-7.783857331E-2,-1.231423616E0,4.802663201E-1,1.324053890E0
2.577072917E-1,-1.052949053E-1,-1.241173556E0,8.092476296E-1,1.485422680E0
2.677452917E-1,-6.442447588E-2,-1.305530351E0,9.885215074E-1,1.638821156E0
2.777832916E-1,-6.370453745E-2,-1.298006446E0,1.104281759E0,1.705378904E0
2.878202917E-1,-9.166343763E-2,-1.185717686E0,1.197088766E0,1.687409295E0
2.978582917E-1,-1.477426212E-1,-1.038459653E0,1.064776801E0,1.494649112E0
3.078962917E-1,-3.546144797E-1,-9.367900211E-1,8.257303458E-1,1.298136193E0
3.179342917E-1,-6.017751159E-1,-7.990752286E-1,6.450952363E-1,1.190295079E0
3.279722917E-1,-6.566469955E-1,-6.078519809E-1,6.103692073E-1,1.083152749E0
3.380102917E-1,-6.200228141E-1,-4.523575598E-1,5.839684439E-1,9.644038549E-1
3.480472917E-1,-6.124655803E-1,-5.052201900E-1,4.742442727E-1,9.248076327E-1
3.580852917E-1,-3.983662708E-1,-4.221955749E-1,3.304290801E-1,6.679282643E-1
3.681232916E-1,-2.193169262E-1,-6.615422845E-2,2.734368539E-1,3.567127824E-1
3.781612917E-1,-2.987193373E-1,-2.274274528E-1,-1.658901858E-1,4.104583322E-1
3.881992917E-1,-4.545482922E-1,-3.462995929E-1,-2.453643715E-1,6.218852248E-1
3.982362917E-1,-3.659148818E-1,-4.625223595E-1,-1.620725387E-1,6.116274532E-1
4.082742917E-1,5.136596225E-2,-6.992740747E-1,-1.557253861E-1,7.182430574E-1
4.183122917E-1,6.678710184E-1,-8.303338587E-1,-6.531398356E-2,1.067601017E0
4.283502917E-1,1.222817831E0,-2.014155293E-1,-6.021579623E-2,1.240756868E0
4.383882917E-1,9.090566041E-1,2.930001757E-1,-4.810124248E-1,1.069395140E0
4.484262917E-1,7.669865862E-1,4.954930544E-3,5.639054775E-3,7.670233201E-1
4.584632918E-1,8.657798262E-1,6.728206864E-1,2.252418805E0,2.505125318E0
4.685012917E-1,1.536508964E0,1.989076585E-1,2.480867767E0,2.924915200E0
4.785392917E-1,2.802053568E0,-1.514985801E0,8.310413718E-1,3.292007889E0
4.885772917E-1,1.415546005E0,-3.504781301E0,-2.055728996E0,4.302706609E0
4.986152917E-1,-7.903486978E-1,-5.085262642E0,-4.795963461E0,7.034615322E0
5.086522917E-1,-1.906503375E0,-5.643306286E0,-5.941390323E0,8.413190829E0
5.186902917E-1,-2.040885839E0,-5.833457154E0,-6.253719932E0,8.792238075E0
5.287282917E-1,-2.147760516E0,-5.340422269E0,-6.043876811E0,8.346342441E0
5.387662917E-1,-3.149918753E0,-4.324547195E0,-5.375878615E0,7.584442463E0
5.488042916E-1,-4.209733315E0,-3.858973758E0,-4.305040006E0,7.151706265E0
5.588422917E-1,-3.707012517E0,-3.542077766E0,-4.861835269E0,7.065811976E0
5.688792916E-1,-3.003326426E0,-3.140803529E0,-5.579243606E0,7.071956988E0
5.789172917E-1,-3.462541308E0,-2.458843937E0,-6.398077746E0,7.679225524E0
5.889552917E-1,-6.794040080E0,-1.149405161E0,-6.929311321E0,9.772178274E0
5.989932917E-1,-7.902001492E0,-1.508549479E-1,-5.984135808E0,9.913337792E0
6.090312917E-1,-5.392471844E0,-4.967841927E-1,-5.832368987E0,7.958773469E0
6.190692917E-1,-4.278025870E0,-5.246364543E-1,-5.664601260E0,7.117896894E0
6.291062917E-1,-4.530644297E0,3.626402217E-1,-5.459113145E0,7.103531658E0
6.391442918E-1,-5.135355738E0,1.432123300E0,-5.176665732E0,7.431064783E0
6.491822917E-1,-5.151323315E0,2.340247785E0,-4.601790878E0,7.293104337E0
6.592202917E-1,-3.782977788E0,2.996377594E0,-3.265943592E0,5.827142282E0
6.692582917E-1,-1.019957308E0,2.817423267E0,-3.295970213E-1,3.014435432E0
6.792962917E-1,2.492668910E0,2.428520422E0,5.230927309E0,6.282810696E0
6.893332917E-1,7.198123612E0,1.738781987E0,1.456231517E1,1.633699389E1
6.993712917E-1,1.341139835E1,-3.463729754E-2,2.454418822E1,2.796934002E1
7.094092917E-1,1.994889419E1,-2.340389872E0,3.230916431E1,3.804363156E1
7.194472917E-1,2.138609769E1,-3.431745484E0,3.733595947E1,4.316382654E1
7.294852916E-1,1.894634462E1,-3.455647440E0,3.798246272E1,4.258606519E1
7.395232917E-1,1.533154679E1,-2.848470520E0,3.435609909E1,3.772945343E1
7.495602916E-1,1.237185229E1,-2.394515647E0,2.836117576E1,3.103470194E1
7.595982917E-1,1.054887288E1,-1.281819599E0,2.268830302E1,2.505356012E1
7.696362917E-1,9.546509845E0,-7.408641502E-2,1.780987043E1,2.020724682E1
7.796742917E-1,8.581502915E0,9.421273595E-1,1.381008608E1,1.628644448E1
7.897122917E-1,6.668991526E0,1.273275355E0,1.061318524E1,1.259906262E1
7.997502917E-1,4.644756511E0,1.006489124E0,7.655730802E0,9.010937661E0
8.097872917E-1,3.320314803E0,7.949055791E-1,4.805397359E0,5.894761153E0
8.198252918E-1,2.726192670E0,3.974493543E-1,2.153941754E0,3.497078429E0
8.298632917E-1,2.296555343E0,-6.946745818E-1,-6.454285276E-1,2.484616108E0
8.399012916E-1,1.534855810E0,-2.868927589E0,-3.250067232E0,4.598854735E0
8.499392917E-1,7.199121147E-1,-5.550481153E0,-5.416693350E0,7.788881905E0
8.599772917E-1,2.557297307E-1,-8.166875099E0,-7.066676450E0,1.080283123E1
8.700142917E-1,-5.052049872E-1,-1.117721701E1,-7.824791933E0,1.365330660E1
8.800522917E-1,-1.001744986E0,-1.469043468E1,-8.560126664E0,1.703197383E1
8.900902917E-1,-1.503096950E0,-1.779433204E1,-9.922058380E0,2.042901847E1
9.001282917E-1,-2.138669265E0,-2.045151850E1,-1.191927897E1,2.376778758E1
9.101662918E-1,-2.891690215E0,-2.251686968E1,-1.373894183E1,2.653544451E1
9.202042917E-1,-4.049434821E0,-2.414580806E1,-1.507784780E1,2.875342525E1
9.302412916E-1,-6.011883770E0,-2.504950460E1,-1.628135681E1,3.047462890E1
9.402792917E-1,-8.781244971E0,-2.463916806E1,-1.818174282E1,3.185552759E1
9.503172917E-1,-1.184135546E1,-2.402325276E1,-2.168943955E1,3.446398352E1
9.603552917E-1,-1.526590478E1,-2.399095742E1,-2.565995625E1,3.830205271E1
9.703932917E-1,-1.925468468E1,-2.355428736E1,-2.824554824E1,4.151335123E1
9.804312917E-1,-2.260243082E1,-2.286578707E1,-2.794393014E1,4.259785592E1
9.904692917E-1,-2.432379731E1,-2.195575449E1,-2.531558800E1,4.140750254E1
1.000506292E0,-2.323412657E1,-2.226105867E1,-2.340916882E1,3.979156388E1
1.010544292E0,-2.036424296E1,-2.317302317E1,-2.157389155E1,3.764471000E1
1.020582292E0,-1.658909927E1,-2.330121519E1,-1.916975504E1,3.443289637E1
1.030620292E0,-1.320801348E1,-2.255826563E1,-1.648832251E1,3.090617653E1
1.040658292E0,-1.204720786E1,-2.089570575E1,-1.391126980E1,2.784401486E1
1.050696292E0,-9.305499895E0,-2.031340961E1,-1.200104058E1,2.536241143E1
1.060733292E0,5.759938942E0,-2.306867610E1,-5.791091153E0,2.447197275E1
1.070771292E0,3.684790642E1,-2.177915922E1,9.510799145E0,4.384695296E1
1.080809292E0,6.407591751E1,-1.718788222E1,3.187046877E1,7.359941086E1
1.090847292E0,6.238911741E1,-1.814701036E1,5.366399577E1,8.427063782E1
1.100885292E0,3.998374244E1,-2.094825819E1,7.022990616E1,8.348514179E1
1.110923292E0,2.245538738E1,-1.978004999E1,7.682811480E1,8.245031245E1
1.120961292E0,1.486588857E1,-1.423311809E1,7.055395885E1,7.349447192E1
1.130998292E0,1.372245619E1,-1.142878762E1,5.391984654E1,5.680028909E1
1.141036292E0,1.371836314E1,-8.068879273E0,3.663725930E1,3.994482531E1
1.151074292E0,1.126209286E1,-4.128083380E0,2.394797337E1,2.678397350E1
1.161112292E0,7.851672753E0,-1.344696024E0,1.436287132E1,1.642403863E1
1.171150417E0,4.561111214E0,4.301545125E-1,6.647127033E0,8.072983724E0
1.181188417E0,2.421386381E0,1.589648606E0,4.585673028E-1,2.932640221E0
1.191226417E0,1.127089116E0,2.182683742E0,-4.497119286E0,5.124306789E0
1.201263417E0,3.848935550E-1,2.266239138E0,-8.175904954E0,8.492903196E0
1.211301417E0,6.053154588E-2,1.952720790E0,-1.050945563E1,1.068950140E1
1.221339417E0,-1.409561965E-1,1.150299200E0,-1.185881759E1,1.191530996E1
1.231377417E0,-6.255721141E-1,1.205890287E-1,-1.304058314E1,1.305613614E1
1.241415417E0,-1.296211643E0,-8.454158744E-1,-1.409244578E1,1.417716194E1
1.251453417E0,-1.452904889E0,-2.006381127E0,-1.486248315E1,1.506751152E1
1.261491417E0,-2.042411816E0,-3.412109657E0,-1.515907030E1,1.567199256E1
1.271528417E0,-2.796522102E0,-4.563020915E0,-1.453447540E1,1.548846897E1
1.281566417E0,-3.227161641E0,-5.202704553E0,-1.362999768E1,1.494187216E1
1.291604417E0,-3.177066206E0,-5.704959328E0,-1.322415297E1,1.474850949E1
1.301642417E0,-2.794540481E0,-6.499757903E0,-1.338746219E1,1.514200955E1
1.311680417E0,-2.595785727E0,-7.347749183E0,-1.373331564E1,1.579023369E1
1.321718417E0,-2.634339051E0,-7.718723441E0,-1.425932415E1,1.642701308E1
1.331756417E0,-2.975164481E0,-7.537390759E0,-1.480134466E1,1.687434938E1
1.341793417E0,-3.551446760E0,-7.187235512E0,-1.521739277E1,1.719994683E1
1.351831417E0,-4.591644205E0,-6.940116391E0,-1.578357983E1,1.784292028E1
1.361869417E0,-6.169420624E0,-6.779706216E0,-1.675609225E1,1.909954959E1
1.371907417E0,-7.404277725E0,-6.917078362E0,-1.818728598E1,2.081938215E1
1.381945417E0,-8.285035048E0,-7.259521716E0,-1.946225849E1,2.236340687E1
1.391983417E0,-8.925496951E0,-7.324911128E0,-2.006747338E1,2.315215555E1
1.402021417E0,-9.232676332E0,-6.702406610E0,-1.985536446E1,2.289978307E1
1.412058417E0,-9.525715392E0,-5.755482779E0,-1.929294886E1,2.227291430E1
1.422096417E0,-1.032467777E1,-4.857226202E0,-1.899743292E1,2.216064247E1
1.432134417E0,-1.193964482E1,-3.670947183E0,-1.924138928E1,2.294040176E1
1.442172417E0,-1.473473435E1,-1.754141599E0,-1.987705529E1,2.480497402E1
1.452210417E0,-1.627761225E1,-2.126632333E-1,-2.101871480E1,2.658556484E1
1.462248417E0,-1.330941823E1,-1.721249842E0,-2.189126438E1,2.567743700E1
1.472286417E0,-4.197558827E0,-1.008149441E1,-1.919683233E1,2.208561525E1
