"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.965458346E-3,3.310902175E-1,-7.728422803E-1,-1.172664946E-1,8.489153981E-1
1.602645835E-2,3.616409691E-1,-1.039625003E0,2.789577949E-1,1.135527097E0
2.608845825E-2,5.065295643E-1,-1.374388624E0,3.984532481E-1,1.517985929E0
3.614945826E-2,8.058990023E-1,-1.861560506E0,8.771525145E-2,2.030412442E0
4.621045827E-2,8.697016999E-1,-2.150928976E0,-5.254682207E-1,2.378863879E0
5.627145828E-2,7.786314623E-1,-2.377662364E0,-1.250793688E0,2.797146782E0
6.633245829E-2,4.687670031E-1,-2.536085071E0,-1.860223832E0,3.179921806E0
7.639345829E-2,-5.318561576E-2,-2.702386316E0,-2.298262730E0,3.547919402E0
8.645545831E-2,-9.214059236E-1,-3.007920291E0,-2.452406445E0,3.988843281E0
9.651645832E-2,-1.120947639E0,-3.309404776E0,-2.456380212E0,4.271122491E0
1.065774583E-1,1.841396382E-1,-4.196897214E0,-1.519021257E0,4.467133221E0
1.166384583E-1,6.412067648E-2,-4.636302607E0,-4.942961293E-1,4.663018549E0
1.266994583E-1,4.733825393E-1,-5.198679914E0,2.679077268E-1,5.227058296E0
1.367614584E-1,1.249527912E0,-5.582751936E0,1.266577077E-1,5.722279384E0
1.468224584E-1,8.118836275E-1,-5.707975906E0,-3.273119295E-1,5.774710129E0
1.568834583E-1,-4.123139267E-1,-5.292452881E0,-1.043718054E0,5.410120854E0
1.669444583E-1,-1.958322277E0,-4.314159324E0,-1.828397437E0,5.078388918E0
1.770054583E-1,-3.105703278E0,-2.978489500E0,-2.323820910E0,4.890494471E0
1.870664583E-1,-3.691610951E0,-1.771628575E0,-1.902422603E0,4.515071536E0
1.971284583E-1,-3.560989123E0,-5.128116301E-1,-5.539008915E-1,3.640113391E0
2.071894583E-1,-3.033677568E0,7.621959624E-1,8.809415102E-2,3.129201631E0
2.172504583E-1,-2.984487281E0,2.016889451E0,3.134253770E-1,3.615693966E0
2.273114583E-1,-2.564358990E0,3.236842292E0,1.710538035E0,4.469790310E0
2.373724583E-1,-1.085892412E0,5.866062398E0,2.859677879E0,6.615709180E0
2.474334583E-1,2.222251850E0,1.071246511E1,3.768287829E0,1.157131389E1
2.574954584E-1,5.306917139E0,1.395572735E1,5.351660033E0,1.586083102E1
2.675564584E-1,5.500147735E0,1.206342803E1,6.099915356E0,1.459407032E1
2.776174583E-1,3.575170668E0,7.993756585E0,5.672772160E0,1.043371140E1
2.876784583E-1,1.137628869E0,4.974334529E0,4.523764463E0,6.819285033E0
2.977394583E-1,-2.214422429E0,9.292377573E-1,3.160350478E0,3.969252404E0
3.078014583E-1,-4.573864576E0,-1.793794200E0,2.227466982E0,5.394399313E0
3.178624583E-1,-6.596564990E0,-2.728616048E0,1.829465139E0,7.369325471E0
3.279234583E-1,-8.408011349E0,-2.599634072E0,2.301797957E0,9.096759092E0
3.379844583E-1,-1.026739961E1,-1.198790306E-1,3.772259842E0,1.093909549E1
3.480454583E-1,-8.609932662E0,1.390495949E0,4.084906370E0,9.630725803E0
3.581064583E-1,-5.909017798E0,1.126534800E0,3.389253184E0,6.904535404E0
3.681684583E-1,-4.192184359E0,5.362431774E-1,2.164453293E0,4.748349661E0
