"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.053625024E-3,1.121159747E-2,-7.462772101E-2,-1.505872039E0,1.507761783E0
1.611462503E-2,3.224140093E-2,8.624643087E-3,-1.358989397E0,1.359399159E0
2.617462503E-2,-8.309229657E-2,-4.880378544E-3,-8.090792298E-1,8.133494624E-1
3.623562504E-2,1.699186251E-2,-1.248801541E-1,-9.420916915E-2,1.573503856E-1
4.629662505E-2,3.836415931E-1,-1.676855734E-1,3.640458924E-1,5.548231567E-1
5.635662505E-2,9.877793495E-1,-5.374877572E-2,8.293392473E-1,1.290891383E0
6.641762506E-2,1.678201763E0,4.456806242E-2,1.231045886E0,2.081783236E0
7.647862507E-2,2.136619377E0,3.692282796E-2,1.146575840E0,2.425106557E0
8.653862507E-2,2.284671755E0,1.258648252E-1,4.874858773E-1,2.339489145E0
9.659962507E-2,2.092386506E0,4.329725781E-1,-5.248799908E-1,2.200237612E0
1.066606251E-1,2.059714166E0,5.110121495E-1,-2.042586209E0,2.945456549E0
1.167206251E-1,1.273294358E0,2.564112237E-1,-3.622600942E0,3.848410428E0
1.267816251E-1,-3.744362758E-2,9.340748665E-1,-3.445613326E0,3.570174936E0
1.368426250E-1,9.139344245E-1,9.227032015E-1,-3.152904049E0,3.409906344E0
1.469026250E-1,1.944008585E0,-1.477603090E-1,-2.137515171E0,2.893090664E0
1.569636250E-1,2.205431311E0,-9.408333707E-1,-1.650654945E0,2.910971736E0
1.670246250E-1,1.829936132E0,-1.121590102E0,-1.912050628E0,2.874468335E0
1.770846250E-1,1.425825703E0,-8.465394169E-1,-2.491224355E0,2.992625387E0
1.871456250E-1,1.411959031E0,-3.306518590E-1,-3.182094519E0,3.496953601E0
1.972066250E-1,1.520313930E0,-4.296124756E-2,-3.407161451E0,3.731212842E0
2.072666250E-1,2.189227215E0,-3.059619910E-1,-3.551191236E0,4.182975943E0
2.173276250E-1,2.849938172E0,-9.200649378E-1,-4.221219585E0,5.175650863E0
2.273886250E-1,2.787410386E0,-1.382608055E0,-4.728592427E0,5.660463589E0
2.374486250E-1,2.160439910E0,-1.492640082E0,-5.222866337E0,5.845836792E0
2.475096250E-1,1.467192853E0,-1.597587078E0,-6.029824197E0,6.408097939E0
2.575706250E-1,7.453954500E-1,-2.262520163E0,-7.104069979E0,7.492824710E0
2.676306251E-1,-2.466832110E-1,-3.053875605E0,-7.537979574E0,8.136838752E0
2.776916251E-1,-1.047938282E0,-3.840715827E0,-6.550766673E0,7.665625657E0
2.877526251E-1,-6.811178854E-1,-4.708987590E0,-6.134705704E0,7.763575193E0
2.978126251E-1,1.150915935E0,-5.562041098E0,-5.710188493E0,8.054015228E0
3.078736251E-1,2.289397767E0,-5.563508749E0,-4.178940123E0,7.325128824E0
