"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.632833371E-3,6.149069390E-1,-2.266588363E-1,-1.239230819E0,1.401847992E0
1.869383338E-2,6.848975256E-1,-1.118455410E-1,-1.118715611E0,1.316479648E0
2.875583328E-2,3.475880268E-1,-6.989966244E-2,-1.009823499E0,1.070255529E0
3.881683329E-2,7.006581107E-1,-1.829777965E-1,-9.827725250E-1,1.220755708E0
4.887783329E-2,2.103439060E0,-5.338762245E-1,-9.133228058E-1,2.354493204E0
5.893983331E-2,9.746998590E-1,-1.417116860E0,-8.830874383E-1,1.933417553E0
6.900083332E-2,4.620668614E-1,-2.678513304E0,-5.937093204E-1,2.782162838E0
7.906183333E-2,5.140842766E-2,-3.118307536E0,-2.323142048E0,3.888891062E0
8.912283333E-2,-3.929700217E-1,-2.642733606E0,-3.954142748E0,4.772180971E0
9.918483335E-2,-1.766499397E-1,-2.349194610E0,-4.612081978E0,5.178920803E0
1.092458334E-1,1.475132056E0,-1.258725436E0,-5.116175117E0,5.471348292E0
1.193068334E-1,3.554406620E0,-5.218476248E-1,-5.729314735E0,6.762483175E0
1.293688334E-1,5.291692159E0,-7.308999100E-1,-6.447058117E0,8.372620793E0
1.394298334E-1,5.940651820E0,-1.211196928E0,-6.744025921E0,9.068639791E0
1.494908333E-1,5.504932512E0,-1.428390876E0,-6.930372006E0,8.965190383E0
1.595518333E-1,4.052817728E0,-2.228379732E0,-7.065507592E0,8.444667270E0
1.696138333E-1,2.407371190E0,-3.407946732E0,-7.091690254E0,8.228098665E0
1.796748333E-1,1.100926335E0,-4.180814740E0,-7.250826906E0,8.441903903E0
1.897358333E-1,1.472609568E-1,-4.473122605E0,-7.854687577E0,9.040278125E0
1.997968333E-1,-3.217275462E0,-4.200483896E0,-9.900997878E0,1.122607168E1
2.098588333E-1,-6.585645899E0,-4.757610697E0,-9.671507528E0,1.263105891E1
2.199198334E-1,-5.191224130E0,-6.527044519E0,-6.272167313E0,1.043509468E1
2.299808334E-1,-2.925729781E0,-7.327365789E0,-6.321924194E0,1.011023786E1
2.400428334E-1,-3.028281757E0,-7.426674900E0,-5.646975414E0,9.808889937E0
2.501038334E-1,-2.103223005E0,-7.664776445E0,-4.393076270E0,9.081380075E0
2.601648333E-1,-1.854108814E0,-7.749601418E0,-2.537054247E0,8.362456928E0
2.702268333E-1,-1.871859207E0,-8.093034706E0,-7.483769453E-1,8.340331869E0
2.802878333E-1,-1.965408225E0,-8.329544054E0,3.148477122E-1,8.564068117E0
2.903488333E-1,-2.329855821E0,-8.699432484E0,1.344839135E0,9.105874257E0
3.004098333E-1,-2.559523927E0,-9.553683794E0,3.275900230E0,1.041899991E1
3.104718333E-1,-2.456220583E0,-1.041069616E1,5.138762911E0,1.186686556E1
3.205328333E-1,-1.000844514E0,-9.716824619E0,6.313403631E0,1.163088285E1
3.305938334E-1,1.819181056E0,-7.322193927E0,8.231034842E0,1.116574575E1
3.406548334E-1,4.991151706E0,-5.472607350E0,9.530035899E0,1.206990517E1
3.507168334E-1,8.213981438E0,-3.675486377E0,1.058586938E1,1.389385914E1
3.607778334E-1,9.928560483E0,-2.261300434E0,1.091613416E1,1.492822085E1
3.708388334E-1,1.049132458E1,-1.440462892E0,1.017500542E1,1.468582855E1
3.809008333E-1,1.126574854E1,-3.275364625E-1,9.570460625E0,1.478573930E1
3.909618333E-1,1.324793008E1,1.360887111E0,9.269825447E0,1.622619269E1
4.010228333E-1,1.488248297E1,3.499254805E0,8.921882202E0,1.770121650E1
4.110838333E-1,1.534780205E1,5.261912874E0,8.938426899E0,1.852399067E1
4.211458333E-1,1.468875770E1,5.584442950E0,8.359463671E0,1.779961344E1
4.312068333E-1,1.208563108E1,5.547218406E0,6.666873080E0,1.487552713E1
4.412678333E-1,9.404380989E0,4.936433462E0,4.356554561E0,1.147999672E1
4.513298334E-1,8.337831312E0,4.462704914E0,2.450889092E0,9.769443356E0
4.613908334E-1,7.731225373E0,4.582037814E0,1.219191241E0,9.069362910E0
4.714518334E-1,7.178868731E0,4.394000130E0,2.252779798E-1,8.419866007E0
4.815128334E-1,7.043080596E0,3.603534634E0,7.884736419E-2,7.911805297E0
4.915748333E-1,7.149065473E0,3.768267948E0,-8.818204637E0,1.196117525E1
5.016358333E-1,6.054887702E0,6.957042911E0,-2.739401354E1,2.890491462E1
5.116968333E-1,4.126738520E0,4.506652294E0,-6.763341029E0,9.114969423E0
5.217588333E-1,5.682746925E0,2.411268359E0,1.861754633E0,6.447787064E0
5.318199167E-1,7.033961279E0,8.150922140E-1,6.884149182E-1,7.114415063E0
5.418809167E-1,5.642601696E0,-1.118791625E0,2.613665636E0,6.318377692E0
5.519419167E-1,4.455226325E0,-1.787604045E0,4.265778877E0,6.421949801E0
5.620039167E-1,1.429606220E0,-1.625575360E0,-7.153062630E-1,2.279897420E0
5.720649167E-1,-1.424777005E0,-2.325532098E0,-3.023153164E0,4.071553034E0
5.821259166E-1,-2.573781193E0,-2.525168027E0,-2.697984824E0,4.503326027E0
5.921879166E-1,-6.010762274E-1,-3.368071060E0,-1.335997560E0,3.672885076E0
6.022489166E-1,1.502064332E0,-3.396748729E0,2.046258845E0,4.240433286E0
6.123099166E-1,3.947200348E0,5.346100500E-1,1.077045502E0,4.126284710E0
6.223709167E-1,2.379875243E0,-1.711421549E-1,-2.058118168E0,3.151023041E0
6.324329167E-1,2.136829877E-1,-1.640134343E0,2.361437802E0,2.883069471E0
6.424939167E-1,-2.905000817E0,-1.975244411E0,2.736347237E0,4.452888549E0
6.525549167E-1,-3.268599397E0,-2.483012818E0,5.625254177E0,6.963661338E0
6.626159167E-1,-4.898345284E0,-1.665299297E0,1.651608042E0,5.430913127E0
6.726779167E-1,-2.349575556E0,-6.352917945E-1,9.833496451E-2,2.435933234E0
6.827389167E-1,6.948415929E-1,1.124442082E0,9.981793535E-1,1.656362538E0
6.927999167E-1,3.075428442E0,2.235455156E0,1.724482767E-1,3.805950376E0
7.028619166E-1,3.989725978E0,3.348324428E0,3.235064153E-1,5.218605777E0
7.129229166E-1,3.188846299E0,3.838932426E0,-2.913375199E-1,4.999101964E0
7.229839166E-1,2.748409458E0,4.041710064E0,7.138327646E-1,4.939507264E0
7.330449166E-1,1.893965190E0,4.252662402E0,1.873245581E0,5.018096318E0
7.431069167E-1,1.012972809E0,4.415290719E0,-1.675015615E0,4.829760176E0
7.531679167E-1,1.548123434E0,5.062950836E0,-3.659772277E0,6.436154944E0
7.632289167E-1,1.942949654E0,5.432681977E0,-5.414940355E0,7.912690179E0
7.732909167E-1,1.811749830E0,5.388275297E0,-5.568488238E0,7.957638430E0
7.833519167E-1,8.350853062E-1,4.543097697E0,-4.280716174E0,6.297748416E0
7.934129167E-1,-1.070959647E0,3.168382506E0,-2.426527838E0,4.132026091E0
8.034739167E-1,-3.314015306E0,1.435232996E0,-8.507488275E-1,3.710305212E0
8.135359166E-1,-4.530130911E0,4.809326103E-1,-5.950804925E-1,4.594290265E0
8.235969166E-1,-4.135520453E0,6.141111329E-1,-1.540620872E0,4.455690135E0
8.336579166E-1,-2.551215034E0,9.283062959E-1,-2.662155426E0,3.802304858E0
8.437189166E-1,-1.294282354E0,1.542456897E0,-3.106920376E0,3.702336332E0
8.537809167E-1,-1.062151401E0,1.648991705E0,-2.465055141E0,3.150212071E0
8.638419167E-1,-1.576207026E0,1.320473202E0,-1.422450982E0,2.500288956E0
8.739029167E-1,-2.351758322E0,9.256186232E-1,-8.973195612E-1,2.681924576E0
8.839649167E-1,-2.379638430E0,7.477472001E-1,-1.247766730E0,2.789036885E0
8.940259167E-1,-1.199582604E0,1.085898113E0,-1.816090364E0,2.432356336E0
9.040869167E-1,3.814735186E-1,1.921720169E0,-1.931996065E0,2.751570324E0
9.141479167E-1,6.948667359E-1,2.340783390E0,-1.423157326E0,2.826213622E0
9.242099166E-1,-5.219423497E-1,1.846408762E0,-5.677377427E-1,2.000993572E0
9.342709166E-1,-1.106183274E0,1.585936647E0,1.049607954E0,2.200116665E0
