"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-2.999999560E-4,-1.345290101E-1,-2.928118953E-1,1.248205125E-1,3.455676793E-1
9.761000052E-3,-1.269794507E-1,-3.969858894E-1,6.175595284E-1,7.450512387E-1
1.982200006E-2,-6.988811418E-2,-3.026893044E-1,1.065215342E0,1.109589513E0
2.988300007E-2,-1.815004975E-2,-4.448327780E-2,8.194077516E-1,8.208149911E-1
3.994499997E-2,6.517438129E-2,5.366896123E-2,6.008119333E-1,6.067149549E-1
5.000599998E-2,1.071826789E-1,1.053492844E-1,5.044509888E-1,5.263624212E-1
6.006699998E-2,1.905687249E-1,1.774697194E-1,3.160373282E-1,4.095015666E-1
7.012799999E-2,2.643988857E-1,1.375080934E-1,1.407524210E-1,3.295853312E-1
8.018900000E-2,3.160974084E-1,7.160178691E-2,-9.344026029E-2,3.373061958E-1
9.025000001E-2,3.099155858E-1,-3.621706903E-2,-4.188196850E-1,5.222731804E-1
1.003120000E-1,2.534405458E-1,9.132444531E-2,-6.532807535E-1,7.066456024E-1
1.103730000E-1,-2.170961536E-2,3.665780291E-1,-7.250640965E-1,8.127537775E-1
1.204340000E-1,-2.892506486E-1,5.642753139E-1,-5.483805352E-1,8.383279663E-1
1.304950000E-1,-5.443911262E-1,9.792264810E-1,-5.450710112E-1,1.245932826E0
1.405560001E-1,-6.905466668E-1,1.311886859E0,-7.458550411E-1,1.659578733E0
1.506180001E-1,-5.901642998E-1,1.366499268E0,-1.066356134E0,1.831046027E0
1.606790001E-1,-4.066635429E-1,9.923800850E-1,-1.145216947E0,1.568985444E0
1.707400000E-1,-7.360059180E-1,3.865600115E-1,-5.859676069E-1,1.017099499E0
1.808010000E-1,-4.595065118E-1,1.062858037E0,-9.200617218E-1,1.478961464E0
1.908620000E-1,-2.147317589E-1,7.110939288E-1,-1.420724300E0,1.603191142E0
2.009230000E-1,1.372404371E-1,-3.750722793E-1,-2.172170448E-1,4.546398540E-1
2.109850000E-1,8.216531555E-1,-6.372079271E-1,-7.596375132E-1,1.287709984E0
2.210460000E-1,1.581060069E-1,-9.285626963E-1,-3.564760870E-1,1.007125310E0
2.311070000E-1,2.722293308E-1,-1.726054791E0,2.863153464E-1,1.770692076E0
2.411680000E-1,7.216756350E-1,-4.853373179E-1,-2.531604642E-1,9.057915074E-1
2.512290000E-1,9.015303605E-1,7.855295688E-1,-4.740396202E-2,1.196687440E0
2.612910001E-1,7.532299150E-1,1.078359590E0,-2.591790032E-1,1.340667172E0
2.713520001E-1,4.480122746E-1,4.275606877E-1,-6.027900463E-1,8.642216034E-1
2.814130001E-1,-2.479794656E-1,-3.164615437E-1,-2.751799089E-1,4.872019153E-1
2.914740000E-1,1.268135506E0,-8.591351965E-1,-2.331539235E0,2.789687465E0
3.015350000E-1,8.969937982E-1,-1.756865817E0,-1.261402291E0,2.341433559E0
3.115960000E-1,4.366788357E-2,-6.895276433E-1,9.813498974E-2,6.978436295E-1
3.216580000E-1,7.289033782E-1,1.277154398E0,-1.386355535E0,2.020991133E0
3.317190000E-1,5.078053902E-1,7.936773714E-1,-9.838203460E-1,1.362238069E0
3.417800000E-1,-4.761862792E-1,-9.422060046E-1,-1.830598329E0,2.113195630E0
3.518410000E-1,-3.181872910E0,-3.385699246E0,-1.249817203E0,4.811373779E0
3.619020000E-1,-1.979517556E0,-4.561703829E0,7.450691754E-1,5.028196462E0
3.719630417E-1,-8.718607843E-1,-5.583744793E0,1.198665175E0,5.777122583E0
3.820250417E-1,1.232290320E0,-5.240190468E0,-4.462045348E-1,5.401595510E0
3.920860417E-1,3.227748702E0,-3.920001732E0,-2.095824523E0,5.493382901E0
4.021470418E-1,2.102841182E0,-3.592305349E0,-1.808338564E0,4.538357315E0
4.122080416E-1,1.458934977E0,-3.165148996E0,-2.530780184E-1,3.494382337E0
4.222690416E-1,2.127174077E0,-2.274632378E0,-2.305832536E0,3.875007831E0
4.323310417E-1,2.236687456E0,4.867149219E-1,-7.354241931E-1,2.404269314E0
4.423920417E-1,8.562335157E-1,-8.028117456E-2,1.854630970E0,2.044318208E0
4.524530417E-1,1.948941296E0,-1.868438658E-1,-1.343959129E-1,1.962484412E0
4.625140417E-1,6.536532211E-1,-6.438361115E-1,-1.214150357E0,1.521824090E0
4.725750417E-1,3.773732756E0,-7.452304123E-1,-2.096351942E0,4.380766913E0
4.826360417E-1,8.231053553E0,-4.369927143E0,-4.561366737E0,1.037557576E1
4.926980417E-1,5.602611419E0,-6.124297661E0,-1.745544613E1,1.932844733E1
5.027590417E-1,4.195602348E0,-1.188682926E1,-1.623148240E1,2.055141868E1
5.128200417E-1,2.019331248E0,-1.494614862E1,5.520730519E-1,1.509204565E1
5.228810417E-1,1.807374358E0,-1.563910566E1,9.907413443E0,1.860121149E1
5.329420416E-1,2.977051962E0,-1.275828542E1,1.143709768E1,1.739091396E1
5.430040417E-1,2.911657872E0,-7.612549115E0,8.452067195E0,1.174163939E1
5.530650417E-1,8.074501956E-1,-2.450437102E0,6.302222586E0,6.809891874E0
5.631260417E-1,-2.131278530E0,-7.501743793E-2,7.200940216E0,7.510094260E0
5.731870417E-1,-3.690928581E0,4.245803618E-1,8.849529925E0,9.597781106E0
5.832480417E-1,-2.299413462E0,-2.655203086E-1,9.667156030E0,9.940407890E0
5.933090417E-1,-2.489411134E-1,-1.282341755E0,8.520600071E0,8.620150673E0
6.033710417E-1,1.209119412E0,4.494801450E-1,4.888887413E0,5.056206314E0
6.134320417E-1,8.075718176E-1,2.284279114E-1,4.041822039E0,4.128035482E0
6.234930417E-1,-1.166199680E0,-1.919896422E0,3.333856370E0,4.020027644E0
6.335540417E-1,-1.694051811E0,-2.401373116E0,6.588844326E-1,3.011732570E0
6.436150417E-1,-2.018296875E0,-1.905947304E0,-1.873090630E0,3.348824557E0
6.536770416E-1,-2.004461194E0,-1.177394174E0,-2.483595785E0,3.401818593E0
6.637380417E-1,-7.104396254E-1,-2.874339772E0,-1.249829189E0,3.213818070E0
6.737990417E-1,6.553266943E-2,-3.521727701E0,-8.568512741E-1,3.625059260E0
6.838600417E-1,-5.767658436E-1,-1.594487761E0,-3.970031387E-1,1.741453861E0
6.939210417E-1,-8.448764688E-1,3.099784434E-1,-1.640924594E-1,9.147837002E-1
7.039820417E-1,-7.498194534E-1,1.153420590E0,-1.783783182E0,2.252663026E0
7.140440417E-1,-4.644115949E-1,1.549138511E0,-2.511235866E0,2.986940547E0
7.241050417E-1,-1.332118517E0,1.260922819E0,-2.819000846E0,3.363217488E0
7.341660417E-1,-2.983419580E0,1.360186322E0,-6.994230326E-1,3.352624613E0
7.442270417E-1,-5.963171786E0,1.605901526E0,7.096432931E0,9.407321500E0
7.542880417E-1,-9.946420219E0,3.697445887E0,1.921148311E1,2.194728832E1
7.643500417E-1,-1.049307524E1,6.298506095E0,1.774221464E1,2.155370009E1
7.744110416E-1,-8.964821230E0,6.464638356E0,6.833311150E0,1.299437224E1
7.844720416E-1,-9.769492829E0,5.932942266E0,3.266818920E-1,1.143457542E1
7.945330417E-1,-1.095288040E1,4.687083628E0,-9.486016890E-1,1.195132575E1
8.045940417E-1,-1.123540383E1,3.693869730E0,1.933990551E0,1.198412668E1
8.146550417E-1,-9.309109966E0,3.472695290E0,2.878361487E0,1.034427889E1
8.247170417E-1,-6.615199481E0,2.541141450E0,1.007472041E0,7.157741541E0
8.347780417E-1,-4.478075489E0,2.212160141E0,-9.185712665E-1,5.078443241E0
8.448390417E-1,-1.403148154E0,1.570378522E0,-3.022001848E-1,2.127495804E0
8.549000417E-1,5.569905603E-1,1.824426593E0,-1.665398115E0,2.532256259E0
8.649610417E-1,-1.534455568E-1,2.746393338E0,-3.994463685E0,4.849944539E0
8.750230417E-1,-1.891773069E0,2.599283824E0,-4.130001851E0,5.233736431E0
8.850840417E-1,-3.649649577E0,2.045934910E0,-2.566878262E0,4.908630736E0
8.951450416E-1,-4.265073118E0,2.593244820E0,2.401916907E0,5.539401793E0
9.052060416E-1,-3.071596177E0,3.322767418E0,5.079456357E0,6.802673244E0
9.152670417E-1,1.285861194E-1,4.051822824E0,6.573530468E0,7.723024369E0
9.253290417E-1,2.630514387E0,3.917537423E0,6.376275818E0,7.932439644E0
9.353900417E-1,2.622271568E0,2.567586068E0,4.636370142E0,5.913098552E0
9.454510417E-1,2.137752568E0,3.835171205E-1,2.839371668E0,3.574787111E0
9.555120417E-1,1.261080694E0,-1.154716333E0,2.130918927E0,2.732125509E0
9.655730417E-1,-7.451188767E-1,-4.193558747E-1,2.046271124E0,2.217721129E0
9.756340417E-1,-3.149407414E0,9.664956307E-1,2.432818564E0,4.095300603E0
9.856960417E-1,-3.449600542E0,1.302732165E0,3.296696438E0,4.946216978E0
9.957570417E-1,-9.596105343E-1,1.964242875E0,3.622376994E0,4.230923958E0
1.005818042E0,5.451610583E-1,2.161892213E0,3.082054507E0,3.803950381E0
1.015879042E0,5.085498869E-1,1.333432971E0,1.992558017E0,2.450908796E0
1.025940042E0,-9.247997206E-1,4.511264285E-1,1.081586084E0,1.492848966E0
1.036002042E0,-2.737992643E0,1.049374358E0,3.863471729E-1,2.957541951E0
1.046063042E0,-3.912293056E0,1.390658794E0,4.743044990E-1,4.179106794E0
1.056124042E0,-3.673470549E0,2.133510413E0,-2.340883085E-1,4.254532864E0
1.066185042E0,-2.274384456E0,2.539040546E0,-8.193118572E-2,3.409730820E0
1.076246042E0,-4.827578187E-1,3.501020957E0,1.835052153E0,3.982162636E0
1.086307042E0,1.148086175E0,3.591148769E0,2.409252531E0,4.474254028E0
1.096369042E0,1.243091735E0,3.329261336E0,2.818946759E0,4.536046620E0
1.106430042E0,2.886918302E0,2.982816440E0,2.700427206E0,4.952150875E0
1.116491042E0,5.040493435E0,1.036552291E0,1.579994268E0,5.383065726E0
1.126552042E0,5.190898440E0,6.366389930E-2,-3.780634224E-2,5.191426492E0
1.136613042E0,4.311881833E0,-6.242791486E-1,1.382895738E-2,4.356861329E0
1.146675042E0,3.717532827E0,-1.045323699E0,-5.221885175E-2,3.862056287E0
1.156736042E0,3.862347309E0,-8.126694202E-1,3.328960204E-1,3.960931466E0
1.166797042E0,3.204685822E0,2.341663688E-2,1.724982412E0,3.639522479E0
1.176858042E0,1.300610211E0,6.244153887E-1,2.659714213E0,3.025815790E0
1.186919042E0,9.144963419E-1,6.724145973E-1,2.527273609E0,2.770479533E0
1.196980042E0,9.171895695E-1,-1.749095160E-1,1.912636519E0,2.128381662E0
1.207042042E0,7.119330043E-1,2.056597307E-1,1.476985039E0,1.652461598E0
1.217103042E0,1.582420278E-1,5.742869166E-1,1.093836878E0,1.245522026E0
1.227164042E0,-1.115724760E-1,6.607400465E-1,7.749238890E-1,1.024467110E0
1.237225042E0,-3.504505312E-1,7.848279029E-2,2.351972330E-1,4.292934446E-1
1.247286042E0,-7.366234571E-1,2.758716345E-2,9.098679784E-1,1.170997398E0
1.257347042E0,-2.538469858E0,2.139823651E-1,1.513150068E0,2.962978366E0
1.267409042E0,-4.157567965E0,-9.657729149E-2,2.241547077E0,4.724323428E0
1.277470042E0,-3.810072032E0,-7.993056089E-2,2.547963397E0,4.584228970E0
