Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.009602624981,-0.2955621332,1.524697734,0.844204039,1.767693586
0.01966362499,-0.6027355941,1.496672907,0.9686585158,1.881919049
0.02972362499,-0.7063725214,1.022116977,0.9541673613,1.566563311
0.039784625,-0.7318428466,0.4651860586,0.8084997708,1.185606976
0.04984562501,-0.6849138978,0.02387856692,0.6337802893,0.9334638121
0.05990562501,-0.6467431279,-0.2127395394,0.5908032542,0.9014340077
0.06996662496,-0.5393834245,-0.288759921,0.5999822134,0.8569103961
0.08002762496,-0.4130285295,-0.3078471333,0.6225115353,0.8080117791
0.09008762497,-0.3138454264,-0.2596654916,0.5922627193,0.7188186474
0.100148625,-0.1381394465,-0.1434922801,0.4823011512,0.5218112125
0.110209625,0.06401750967,-0.01472957477,0.3695387667,0.3753319891
0.120269625,0.2756699786,0.0709547925,0.178975085,0.3362448524
0.130330625,0.2758238335,0.1525732984,-0.1236019528,0.3385776739
0.140391625,0.1638008295,0.2181426591,-0.4279097664,0.5074679297
0.150451625,0.1642862946,0.2129438996,-0.6552196902,0.7082710875
0.160512625,0.2340891856,0.07732065618,-0.7435512382,0.7833547565
0.170573625,0.4554164576,-0.1136359584,-0.6407285357,0.7942608748
0.180633625,0.7055263563,-0.236646173,-0.4220216203,0.8554946514
0.190694625,0.9324360381,-0.3515960008,-0.186543721,1.013831975
0.200755625,1.065486945,-0.3931216107,0.02232233047,1.13591607
0.210815625,0.9515247852,-0.2659815077,0.1797387314,1.004216904
0.220876625,0.6456744761,-0.09220357418,0.2812779701,0.710291718
0.230936625,0.3869604727,0.0999878262,0.3021262175,0.5010151935
0.240997625,0.3020768085,0.2089449888,0.2443919796,0.4411755278
0.251058625,0.2594720218,0.1654061826,0.07905260146,0.3177015095
0.261118625,0.2260051907,0.01347958624,-0.0343886447,0.2290035466
0.271179625,0.1557825427,-0.1099782327,-0.1732313651,0.2576286438
0.281240625,0.110726457,-0.1317237353,-0.2296634281,0.2869787116
0.291300625,0.3287032013,0.006142792404,-0.1408389598,0.3576578548
0.301361625,0.3698446492,0.134350597,0.03978913307,0.3954975633
0.311422625,0.2159462987,0.1797442862,0.2731421542,0.3918513095
0.321482625,0.2311156572,0.1720106126,0.372648316,0.4710295801
0.331543625,0.244489555,0.1107755005,0.3929685599,0.4758893181
0.3416049167,0.04754853442,0.01549102843,0.3406622922,0.3443132766
0.3516649167,-0.1783753069,-0.04415203303,0.2866404516,0.3404848023
0.3617259167,-0.3359765529,-0.1233939381,0.1539542645,0.3896257481
0.3717869166,-0.3817066032,-0.2001003443,0.04150178254,0.4329693715
0.3818469166,-0.3169641119,-0.2794463298,0.0818329525,0.4304104223
0.3919079166,-0.1869677903,-0.3769689699,0.1257449573,0.4391746271
0.4019689166,-0.1733668012,-0.4867856732,0.1021262991,0.5267315449
0.4120289166,-0.2812912725,-0.5512446477,0.08586460769,0.6247945041
0.4220899167,-0.4289341986,-0.5179770604,-0.03226376653,0.6732946847
0.4321509167,-0.4446015937,-0.4324049596,-0.3431263089,0.7087879021
0.4422109167,-0.3980767605,-0.2284135857,-0.5975012398,0.7534225939
0.4522719167,-0.2945167241,0.008191364408,-0.6270238316,0.6927958463
