Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.007025500003,-0.8604894117,0.3305755529,-0.3928159475,1.002011274
0.0170855,-0.9208541657,0.5306523621,-0.9228239465,1.407539825
0.02714650001,-1.043377453,0.4773576227,-1.332337203,1.758302941
0.03720650001,-1.034462058,0.5137340283,-1.79196753,2.131943252
0.04726750002,-1.095912347,0.5475098848,-2.207216905,2.524400406
0.05732850003,-1.308062633,0.6400441191,-2.310509723,2.731142528
0.06738850003,-2.112928652,0.7125791216,-2.364080159,3.249786376
0.07744950004,-2.619428067,1.221599417,-2.50224928,3.822951738
0.08750950004,-0.4712313487,1.738357625,-2.307977879,2.927577174
0.09757049999,-0.03939225331,1.261076309,-2.067997039,2.422493954
0.1076305,-0.05686738819,1.004663331,-2.003323326,2.241848937
0.1176915,0.04400833771,1.089740319,-1.733711135,2.04822484
0.1277515,0.1397344208,1.205709316,-1.277963945,1.762513123
0.1378125,-0.02406480074,1.345052558,-1.050984973,1.707136466
0.1478735,-0.314567192,1.472200263,-0.9399136037,1.774757368
0.1579335,-0.5814092638,1.708706687,-0.8990345496,2.016427136
0.1679945,-0.710630537,1.900504424,-0.7082211918,2.149067258
0.1780545,-0.7668320004,1.945633234,-0.4704570311,2.14356008
0.1881155,-0.696708755,1.931526242,-0.1753387016,2.06081061
0.1981755,-0.5789347221,1.781015987,0.242007485,1.888319618
0.2082365,-0.5607989249,1.64106288,0.665978567,1.857716411
0.2182965,-0.4723210504,1.562938817,0.8599716407,1.845376965
0.2283575,-0.3082203318,1.522279618,0.7203699517,1.712094587
0.2384175,-0.2055123809,1.480746261,0.3870973706,1.544243893
0.2484785,-0.1311159904,1.531697144,0.1408208334,1.543735097
0.2585395,-0.06520295955,1.641161114,0.008850345612,1.642479697
0.2685995,-0.01733078174,1.65058127,-0.1746943384,1.659890659
0.2786605,0.07471338272,1.633446005,-0.2004250109,1.647391309
0.2887205,0.2712462311,1.574270428,-0.07003268659,1.599001713
0.2987815,0.4165061245,1.466262123,0.06222840786,1.525540671
0.3088415,0.3670688298,1.416145345,0.09051606774,1.465742243
0.3189025,0.1340330201,1.486137686,-0.05409902394,1.493149951
0.3289625,-0.1542956323,1.576293711,-0.3039540571,1.612729697
0.3390235,-0.2381158341,1.665197994,-0.5074126035,1.757000586
0.3490845,-0.2843452732,1.649204397,-0.7042193574,1.81566855
0.3591445,-0.2919010453,1.53101068,-0.6643004161,1.694253513
0.3692055,-0.1974512449,1.320419116,-0.3267997134,1.374515074
0.3792655,-0.132794123,1.102946548,0.1128401524,1.116628079
0.3893265,-0.1977401522,0.7753220844,0.6392602998,1.024148052
0.3993865,-0.3824453989,0.5083138056,1.215901598,1.372247829
0.4094475,-0.6535013397,0.2972547559,1.984007633,2.109907742
0.4195075,-0.8865155147,-0.004991475642,2.884351959,3.017518997
0.4295685,-0.9745672734,-0.2969011456,3.547941939,3.691317334
0.4396285,-0.9787753683,-0.5516657934,3.867124484,4.027032176
0.4496895,-1.103735337,-0.6779384619,3.9223643,4.130711071
0.4597505,-1.298044891,-0.6972649714,3.939734623,4.206258181
0.4698105,-1.146334496,-0.6333569509,3.729482782,3.952754182
0.4798715,-0.741549517,-0.5681166422,3.290876704,3.420894866
0.4899315,-0.2592435419,-0.5313693769,2.576765612,2.643724957
0.4999925,0.1479135791,-0.4636057024,1.708462858,1.776416058
0.5100525,0.4914629341,-0.2888682407,0.863986339,1.035110173
0.5201135,0.7213314532,-0.08107939258,0.01902917862,0.7261232974
0.5301735,0.717730884,0.06823861465,-0.7060325789,1.009096692
0.5402345,0.7014838837,0.148843798,-1.195285485,1.393894367
0.5502955,0.7124652471,0.2464406978,-1.401764118,1.591628848
0.5603555,0.7521978083,0.2789865924,-1.424847756,1.63518384
0.5704165,0.8103450058,0.1519939855,-1.302443898,1.541467258
0.5804765,0.9338879018,-0.09035263807,-1.047719888,1.406423541
0.5905375,1.068688369,-0.3623559009,-0.6472633839,1.300902193
0.6005975,1.218618506,-0.6512576169,-0.1909501827,1.394858244
0.6106585,1.276442061,-0.8007734062,0.08922500253,1.509471259
0.6207185,1.179084239,-0.8105957052,0.125649063,1.436347008
0.6307795,1.031090772,-0.7515426278,-0.04718761504,1.2767894
0.6408405,0.8809635103,-0.5858934934,-0.3882276374,1.126982072
0.6509005,0.6524274985,-0.3572255538,-0.8912682778,1.160875049
0.6609615,0.6728658561,-0.247336345,-1.406374648,1.57854787
0.6710215,0.9317075481,-0.2008645754,-1.737287877,1.981563701
0.6810825,1.226374253,-0.1241724949,-1.961978248,2.317060911
0.6911425,1.392093408,-0.05503004685,-2.072062608,2.496877213
0.7012035,1.570137909,0.02662544265,-2.199177568,2.702299751
